match,match_ID,teamInnings,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
Bangladesh VS Ireland,Test # 2501,Innings 2,Curtis Campher,8,1,54,0,6.75,25,8,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 2,Ben White,13.3,0,71,2,5.25,47,11,0,0,0
Bangladesh VS Ireland,Test # 2501,Innings 2,Harry Tector,3,0,21,0,7.00,9,4,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 1,Mark Adair,24.3,3,95,1,3.87,97,11,0,1,0
Sri Lanka VS Ireland,Test # 2502,Innings 1,Curtis Campher,21,2,84,2,4.00,85,11,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 1,Andy McBrine,40,2,162,1,4.05,144,15,1,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 1,Ben White,22,0,119,1,5.40,68,15,0,0,1
Sri Lanka VS Ireland,Test # 2502,Innings 1,George Dockrell,21.3,0,112,1,5.20,63,13,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 1,Harry Tector,2,0,12,0,6.00,3,1,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 2,Asitha Fernando,5,2,9,0,1.80,24,1,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 2,Vishwa Fernando,9,2,38,2,4.22,42,8,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 2,Prabath Jayasuriya,23,10,52,7,2.26,112,6,0,0,0
Sri Lanka VS Ireland,Test # 2502,Innings 2,Ramesh Mendis,14.3,3,40,1,2.75,65,2,1,0,2
Sri Lanka VS Ireland,Test # 2502,Innings 2,Dhananjaya de Silva,1,0,4,0,4.00,5,1,0,0,0
Sri Lanka VS Ireland,Test # 2503,Innings 1,Vishwa Fernando,24,1,92,2,3.83,97,13,0,0,0
Sri Lanka VS Ireland,Test # 2503,Innings 1,Asitha Fernando,22,4,78,2,3.54,96,9,2,1,0
Sri Lanka VS Ireland,Test # 2503,Innings 1,Prabath Jayasuriya,58.3,13,174,5,2.97,274,23,4,0,0
Sri Lanka VS Ireland,Test # 2503,Innings 1,Ramesh Mendis,27,4,108,1,4.00,110,13,1,0,1
Sri Lanka VS Ireland,Test # 2503,Innings 1,Dhananjaya de Silva,14,5,20,0,1.42,68,1,0,0,0
Sri Lanka VS Ireland,Test # 2503,Innings 2,Graham Hume,22,3,87,1,3.95,89,12,0,0,0
Sri Lanka VS Ireland,Test # 2503,Innings 2,Andy McBrine,57,8,191,1,3.35,222,16,1,1,0
Sri Lanka VS Ireland,Test # 2503,Innings 2,Curtis Campher,20,1,101,1,5.05,76,14,1,1,1
Sri Lanka VS Ireland,Test # 2503,Innings 2,Matthew Humphreys,10,0,67,0,6.70,32,5,4,0,0
